电影名,导演,评分,评价人数,评价
超脱,"
                            1997 / 美国 / 剧情
                        ",9.0,522674人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
杀人回忆,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",8.9,651335人评价,关于连环杀人悬案的集体回忆。
加勒比海盗,"
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ",8.8,802908人评价,约翰尼·德普的独角戏。
红辣椒,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",9.1,418482人评价,梦的勾结。
被嫌弃的松子的一生,"
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        ",8.9,664637人评价,以戏谑来戏谑戏谑。
狩猎,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",9.1,357611人评价,人言可畏。
请以你的名字呼唤我,"
                            1936 / 美国 / 剧情 喜剧 爱情
                        ",8.9,665412人评价,沉醉在电影的情感和视听氛围中无法自拔。
7号房的礼物,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...",8.9,514972人评价,《我是山姆》的《美丽人生》。
剪刀手爱德华,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...",8.7,983756人评价,浪漫忧郁的成人童话。
断背山,"
                            1990 / 美国 / 剧情 奇幻 爱情
                        ",8.8,667345人评价,每个人心中都有一座断背山。
勇敢的心,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",8.9,533565人评价,史诗大片的典范。
唐伯虎点秋香,"
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        ",8.7,996073人评价,华太师是黄霑，吴镇宇四大才子之一。
哈利·波特与密室,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",8.8,677660人评价,魔法的密室之门已打开...
一一,"
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",9.1,350119人评价,我们都曾经是一一。
入殓师,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...",8.9,620224人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,"
                            1993 / 中国香港 / 喜剧 爱情 古装
                        ",8.9,517425人评价,深入内心的恐怖，出人意料的结局。
爱在黎明破晓前,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...",8.8,619406人评价,缘分是个连绵词，最美不过一瞬。
重庆森林,"
                            2002 / 英国 美国 / 奇幻 冒险
                        ",8.8,750271人评价,寂寞没有期限。
蝙蝠侠：黑暗骑士崛起,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",8.8,672162人评价,诺兰就是保证。
天使爱美丽,"
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        ",8.7,917840人评价,法式小清新。 
幽灵公主,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",8.9,489878人评价,人与自然的战争史诗。
菊次郎的夏天,"
                            2008 / 日本 / 剧情
                        ",8.9,551936人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
小森林 夏秋篇,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...",9.0,397586人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子,"
                            1999 / 美国 / 剧情 悬疑 惊悚
                        ",8.9,574607人评价,一场华丽的意淫。
超能陆战队,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.7,941486人评价,Balalala~~~
